relay_id,event_ts,device,metric,before_30m_mean,after_0_30m_mean,after_30_120m_mean,delta_0_30m,delta_30_120m,n_before,n_after30,n_after120
9,2026-04-09 11:01:35,th-2,temperature,23.71,23.47,22.973333333333333,-0.240000000000002,-0.7366666666666681,30,30,90
9,2026-04-09 11:01:35,th-2,humidity,29.933333333333334,35.63333333333333,33.03333333333333,5.699999999999999,3.099999999999998,30,30,90
8,2026-04-09 11:01:45,th-1,temperature,23.296666666666667,23.509999999999998,23.053333333333335,0.21333333333333115,-0.2433333333333323,30,30,90
8,2026-04-09 11:01:45,th-1,humidity,29.966666666666665,34.8,32.63333333333333,4.833333333333332,2.666666666666668,30,30,90
8,2026-04-09 11:01:45,th-2,temperature,23.71,23.47,22.973333333333333,-0.240000000000002,-0.7366666666666681,30,30,90
8,2026-04-09 11:01:45,th-2,humidity,29.933333333333334,35.63333333333333,33.03333333333333,5.699999999999999,3.099999999999998,30,30,90
3,2026-04-10 14:26:39,th-1,temperature,23.433333333333334,23.03333333333333,22.997777777777777,-0.40000000000000213,-0.43555555555555614,30,30,90
3,2026-04-10 14:26:39,th-1,humidity,23.3,23.1,22.977777777777778,-0.1999999999999993,-0.32222222222222285,30,30,90
3,2026-04-10 14:26:39,th-2,temperature,27.09,27.566666666666666,27.88222222222222,0.47666666666666657,0.7922222222222217,30,30,90
3,2026-04-10 14:26:39,th-2,humidity,19.033333333333335,19.033333333333335,18.744444444444444,0.0,-0.2888888888888914,30,30,90
8,2026-04-15 10:25:24,th-1,temperature,23.193333333333335,23.686666666666667,24.04888888888889,0.4933333333333323,0.8555555555555543,30,30,90
8,2026-04-15 10:25:24,th-1,humidity,33.0,33.96666666666667,34.044444444444444,0.9666666666666686,1.0444444444444443,30,30,90
8,2026-04-15 10:25:24,th-2,temperature,27.94333333333333,27.976666666666667,28.233333333333334,0.03333333333333499,0.2900000000000027,30,30,90
8,2026-04-15 10:25:24,th-2,humidity,29.1,29.9,29.9,0.7999999999999972,0.7999999999999972,30,30,90
8,2026-04-15 10:25:26,th-1,temperature,23.193333333333335,23.686666666666667,24.04888888888889,0.4933333333333323,0.8555555555555543,30,30,90
8,2026-04-15 10:25:26,th-1,humidity,33.0,33.96666666666667,34.044444444444444,0.9666666666666686,1.0444444444444443,30,30,90
8,2026-04-15 10:25:26,th-2,temperature,27.94333333333333,27.976666666666667,28.233333333333334,0.03333333333333499,0.2900000000000027,30,30,90
